title,artist,year,type,latitude,longitude
Corinthian Column,Martin Architectural,1967,Mural/Public Art,39.958850,-75.175750
Corp. James J. Cochran VFW Post 251 Memorial,,,Mural/Public Art,39.959610,-75.195335
Corporal Michael J. Crescenz MOH,Chad Fisher,2016,Mural/Public Art,39.943735,-75.143100
Le Coureur,Germaine Richier,1954,Mural/Public Art,39.955525,-75.190200
Covenant,Alexander Liberman,1974,Mural/Public Art,39.952700,-75.200600
Cowboy,Frederic Remington,1908,Mural/Public Art,39.977740,-75.193860
Cross,,,Mural/Public Art,,
Cross,Joseph C. Bailey,1973,Mural/Public Art,39.977875,-75.154060
Cross,,,Mural/Public Art,39.965925,-75.177200
Curve I,Ellsworth Kelly,1973,Mural/Public Art,39.966825,-75.181625
Deinonychus,Kent Ullberg,1987,Mural/Public Art,39.957200,-75.171125
Delancey,Joe Mooney,,Mural/Public Art,39.943850,-75.147650
Diamond Park,Charles Fahlen,1995,Mural/Public Art,39.985300,-75.162775
Dickens and Little Nell,Francis Edwin Elwell,1890,Mural/Public Art,39.948625,-75.209550
Diego de Gardoqui,Luis Sanguino,1977,Mural/Public Art,39.958185,-75.169225
Dilworth Park Fountain,KieranTimberlake,2014,Mural/Public Art,39.952800,-75.164700
Disc,Paul Sisko,1990,Mural/Public Art,40.082670,-75.219525
Dogs,Mark Chatterley,2016,Mural/Public Art,40.074110,-75.202835
Dolphin Play Fountain,Joseph C. Bailey,1976,Mural/Public Art,39.975300,-75.151225
Don Quijote de la Mancha,Joaquin Garcia Donaire,1966,Mural/Public Art,39.969790,-75.139610
Double Figure Eight,Paul Sisko,1993,Mural/Public Art,39.956250,-75.189200
Dr. Beukenkamp,T.J. Dixon,1998,Mural/Public Art,39.958225,-75.162600
Dr. Hideyo Noguchi,,1988,Mural/Public Art,,
Dr. J,Barney Bright,1987,Mural/Public Art,39.903900,-75.169800
Dream of Sky,Timothy Duffield,1976,Mural/Public Art,39.956265,-75.196200
Driftwood,Harold Kimmelman,1981,Mural/Public Art,39.944550,-75.147375
Drunken Satyr,,1905,Mural/Public Art,39.944300,-75.148100
Duck Girl,Paul Manship,1911,Mural/Public Art,39.949375,-75.171800
The Dying Lioness,Friedrich Wilhelm Wolff,1873,Mural/Public Art,39.974750,-75.195550
Earth and Moon,Ken Clark,1976,Mural/Public Art,40.091810,-75.020700
East Germantown World War Memorial,,1923,Mural/Public Art,40.052065,-75.157900
Eastwick Farmpark,Rosalie Sherman,1983,Mural/Public Art,39.89407,-75.246725
Ed Snider,Chad Fisher,2017,Mural/Public Art,39.902050,-75.172695
Edgar Fahs Smith,R. Tait McKenzie,1925,Mural/Public Art,39.951610,-75.192175
Elfreth's Alley Sign,,,Mural/Public Art,39.952825,-75.143020
Eli Kirk Price Fountain,Augustus Ernest D'Ambly (Architect and Engineer),1969,Mural/Public Art,39.963900,-75.179625
Engine Company 1 Memorial Plaque,,,Mural/Public Art,39.942290,-75.165525
Ericsson Fountain,"Charles L. Borie, Jr. (Architect)",1933,Mural/Public Art,39.964610,-75.178700
Ernesta Drinker Ballard Memorial,,2006,Mural/Public Art,39.965740,-75.183035
Eros/Psyche,Michael Nicholas Lekakis,1980,Mural/Public Art,39.947040,-75.155950
Evelyn Taylor Price Sundial,Beatrice Fenton,1947,Mural/Public Art,39.949735,-75.171420
Face Fragment,Arlene Love,1975,Mural/Public Art,39.955900,-75.193150
Falling Star Relief,Charles Madden,1983,Mural/Public Art,39.945050,-75.160250
Families,Evelyn Keyser,1976,Mural/Public Art,40.048100,-75.060990
Family,Timothy Duffield,1981,Mural/Public Art,39.953450,-75.170950
Family of Bears,Sherl Joseph Winter,1966,Mural/Public Art,39.944150,-75.148000
Family of Turtles,Eric Berg,1989,Mural/Public Art,39.947550,-75.180050
The Family,Charles Parks,1970,Mural/Public Art,39.966250,-75.148100
Figuresphere II,Eric Berg,2002,Mural/Public Art,39.948500,-75.182000
The Final Farewell,Lorann Jacobs,2007,Mural/Public Art,39.945040,-75.143575
First Step,Ken Clark,1977,Mural/Public Art,40.080750,-74.989675
Fish Cutouts,William Burke,1998,Mural/Public Art,40.007235,-75.192525
Fitler Square Fountain,,1976,Mural/Public Art,39.947600,-75.179800
Fitler Square Ram,Gerd Hesness,1982,Mural/Public Art,39.947550,-75.179500
Five Water Spouts and Lintel,,1100,Mural/Public Art,39.944250,-75.141550
Flame,Sherl Joseph Winter,1968,Mural/Public Art,39.958690,-75.189050
Floating Figure,Gaston Lachaise,1927,Mural/Public Art,,
Florentine Lions,,1849,Mural/Public Art,39.982675,-75.222100
Flower (Iris),Rebecca Rose,1983,Mural/Public Art,39.965235,-75.225910
Flukes,Gordon Gund,2007,Mural/Public Art,39.967150,-75.182500
For God and Country,,1979,Mural/Public Art,39.949050,-75.200050
Fountain of the Sea Horses,Vincenzo Pacetti,1791,Mural/Public Art,39.967555,-75.183650
