title,artist,year,type,latitude,longitude
Covenant,Alexander Liberman,1974,Mural/Public Art,39.952700,-75.200600
Cowboy,Frederic Remington,1908,Mural/Public Art,39.977740,-75.193860
CRADLE,Diogo Machado (ADD FUEL),2023,East side of the East wall,39.950600,-75.159670
Creese Student Center Mosaic,,1962,Lower East wall,39.953450,-75.187950
Cresheim Valley Pergola,,1909,Pergola,40.066450,-75.196500
Cross,,,Mural/Public Art,,
Cross,Joseph C. Bailey,1973,Mural/Public Art,39.977875,-75.154060
Cross,,,Mural/Public Art,39.965925,-75.177200
Cross,,1969,Roof,39.955350,-75.196240
Cubus Assemblage,Theodore Miller,1979,On the wall,39.961060,-75.147400
Curtis Building,Horace Trumbauer (Architect),1931,Entrance,39.948625,-75.157800
Curve I,Ellsworth Kelly,1973,Mural/Public Art,39.966825,-75.181625
Daisy,Rebecca Hoenig,2006,Roof,40.074260,-75.202615
Dancing Children,Henry Mitchell,1968,Above the entrance,39.957965,-75.248125
Declaration of Independence,Tiequn Geng,2017,North wall,39.948500,-75.145750
Dedicated to the American Secretary,Costantino Nivola,1970,Plaza,39.950250,-75.148000
Deinonychus,Kent Ullberg,1987,Mural/Public Art,39.957200,-75.171125
Delancey,Joe Mooney,,Mural/Public Art,39.943850,-75.147650
Demeter and Poseidon,,,Wall,39.963540,-75.168850
Dewey's World,Paul Santoleri,2006,Walls,39.970200,-75.146675
Diamond Park,Charles Fahlen,1995,Mural/Public Art,39.985300,-75.162775
Dickens and Little Nell,Francis Edwin Elwell,1890,Mural/Public Art,39.948625,-75.209550
Diego de Gardoqui,Luis Sanguino,1977,Mural/Public Art,39.958185,-75.169225
Dilworth Park Fountain,KieranTimberlake,2014,Mural/Public Art,39.952800,-75.164700
Dilworth Plaza Fountain,Vincent Kling/Kling Lindquist Partnership/KlingStubbins (Architects),1977,Plaza,39.952700,-75.164710
Disc,Paul Sisko,1990,Mural/Public Art,40.082670,-75.219525
Do Good Things,,2015,Wall,39.968990,-75.178625
Dogs,Mark Chatterley,2016,Mural/Public Art,40.074110,-75.202835
Dolphin Play Fountain,Joseph C. Bailey,1976,Mural/Public Art,39.975300,-75.151225
Don Quijote de la Mancha,Joaquin Garcia Donaire,1966,Mural/Public Art,39.969790,-75.139610
Doorway to Imagination,Emilie Ledieu,2010,East Entrance,39.964775,-75.167550
Doorways to Peace,Joe Brenman,2004,Walls,39.973750,-75.141700
Double Figure Eight,Paul Sisko,1993,Mural/Public Art,39.956250,-75.189200
Doves,James Frost,1969,South wall,39.955025,-75.196310
Dr. Beukenkamp,T.J. Dixon,1998,Mural/Public Art,39.958225,-75.162600
Dr. Hideyo Noguchi,,1988,Mural/Public Art,,
Dr. J,Barney Bright,1987,Mural/Public Art,39.903900,-75.169800
The Dragons,Ward Tomlinson Elicker,2009,On top of the parking lot wall,39.953375,-75.154100
Dream of Sky,Timothy Duffield,1976,Mural/Public Art,39.956265,-75.196200
Dreamer (Yellow Snake),Isaiah Zagar,1999,Walls,39.942225,-75.155585
Drexel Book,Harold Kimmelman,1985,Walled garden,39.956805,-75.189875
